text,label
"Find me a quiet coffee shop with strong Wi-Fi.","Coffee"
"I need a good place to get a latte.","Coffee"
"Where can I find a quiet cafe to read a book?","Coffee"
"Show me the best espresso bars around here.","Coffee"
"Looking for a coffee spot with almond milk.","Coffee"
"Any recommendations for a place with good cold brew?","Coffee"
"Find a coffee shop that roasts their own beans.","Coffee"
"I'm looking for a cafe with comfortable seating.","Coffee"
"Where's the nearest place to get a cappuccino?","Coffee"
"Suggest a coffee place with outdoor seating.","Coffee"
"I need a cafe that's open early.","Coffee"
"Find me a spot for a quick coffee meeting.","Coffee"
"Are there any artisanal coffee shops nearby?","Coffee"
"I want a coffee shop with a nice ambiance.","Coffee"
"Where can I get a good iced coffee?","Coffee"
"Show me cafes that serve specialty coffee.","Coffee"
"I'm in the mood for a flat white.","Coffee"
"Find a local coffee roaster.","Coffee"
"I need a place with good coffee and pastries.","Coffee"
"Where can I find a drive-thru coffee place?","Coffee"
"Suggest a cozy coffee shop for a rainy day.","Coffee"
"I'm looking for a cafe that's good for working.","Coffee"
"Find a coffee shop with vegan milk options.","Coffee"
"Where can I get a decent pour-over coffee?","Coffee"
"I need a coffee to go.","Coffee"
"Show me the highest-rated coffee shops.","Coffee"
"Find a cafe with a loyalty program.","Coffee"
"I'm looking for a place that serves single-origin coffee.","Coffee"
"Where can I find a good decaf coffee?","Coffee"
"Suggest a coffee shop that's not a big chain.","Coffee"
"Find me a contemporary art gallery.","Art"
"I want to see some street art or murals.","Art"
"Are there any sculpture parks nearby?","Art"
"Where can I find a museum with modern art?","Art"
"Suggest a place with interesting photography exhibits.","Art"
"I'm looking for an art installation to visit.","Art"
"Show me the local art scene.","Art"
"Where can I find a gallery featuring emerging artists?","Art"
"Find a museum with classical paintings.","Art"
"I want to visit a design museum.","Art"
"Are there any public art displays in the area?","Art"
"Suggest a gallery with abstract art.","Art"
"Where can I see some performance art?","Art"
"I'm interested in digital art exhibits.","Art"
"Find a place with interactive art installations.","Art"
"Show me where to find local artisans.","Art"
"I want to explore a craft market.","Art"
"Are there any glass-blowing studios I can visit?","Art"
"Where can I find a good ceramics gallery?","Art"
